[2026-08-07 14:51:18,895: INFO: main: Welcome to our custom log]
[2026-08-07 14:52:51,593: INFO: main: Welcome to our custom log]
[2026-08-08 13:56:15,330: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-08 13:56:15,336: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-08 13:56:15,341: INFO: common: created directory at: artifacts]
[2026-08-08 13:56:15,347: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-08 13:56:15,351: INFO: 1942423851: Downloading file from :https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=drive_link into : artifacts/data_ingestion/data.zip]
[2026-08-08 13:56:39,752: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-08 13:56:39,757: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-08 13:56:39,763: INFO: common: created directory at: artifacts]
[2026-08-08 13:56:39,767: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-08 13:56:39,773: INFO: 1945869233: Downloading file from :https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=drive_link into : artifacts/data_ingestion/data.zip]
[2026-08-08 14:01:27,507: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-08 14:01:27,515: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-08 14:01:27,520: INFO: common: created directory at: artifacts]
[2026-08-08 14:01:27,525: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-08 14:01:27,530: INFO: 1945869233: Downloading file from :https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into : artifacts/data_ingestion/data.zip]
[2026-08-08 14:01:48,575: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-08 14:01:48,585: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-08 14:01:48,592: INFO: common: created directory at: artifacts]
[2026-08-08 14:01:48,597: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-08 14:01:48,601: INFO: 1945869233: Downloading file from :https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into : artifacts/data_ingestion/data.zip]
[2026-08-08 17:31:25,062: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-08 17:31:25,080: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-08 17:31:25,085: INFO: common: created directory at: artifacts]
[2026-08-08 17:31:25,090: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-08 17:31:25,095: INFO: 1945869233: Downloading file from :https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into : artifacts/data_ingestion/data.zip]
[2026-08-08 17:34:59,274: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-08 17:34:59,279: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-08 17:34:59,284: INFO: common: created directory at: artifacts]
[2026-08-08 17:34:59,289: INFO: common: created directory at: artifacts/data_ingestion]
